"ym","cd","csd","csdname","cases","recips","depchld"
"199505","41","005","One Hundred Mile House",483,941,377
"199505","41","009","Williams Lake",954,1805,722
"199505","41","013","Quesnel",1045,1963,760
"199505","43","023","Port Hardy",362,723,315
"199505","47","012","Prince Rupert",1384,2677,1070
"199505","49","005","Kitimat",504,925,369
"199505","49","011","Terrace",979,2007,863
"199505","51","007","Vanderhoof",299,613,259
"199505","51","043","Smithers",351,627,237
"199505","53","023","Prince George",6547,11831,4645
"199505","55","014","Dawson Creek",1058,1979,808
"199505","55","034","Fort St. John",835,1648,701
"199506","01","022","Cranbrook",1548,2851,1090
"199506","03","004","Creston",436,793,294
"199506","03","015","Nelson",860,1448,520
"199506","03","045","Castlegar",371,692,278
"199506","03","052","Central Kootenay H",422,799,303
"199506","05","014","Trail",586,1043,389
"199506","05","032","Grand Forks",398,720,262
"199506","07","014","Oliver",442,783,265
"199506","07","035","Summerland",363,737,312
"199506","07","041","Penticton",2294,4114,1533
"199506","07","055","Okanagan-Similkameen H",719,1289,440
"199506","09","009","Hope",613,1057,363
"199506","09","020","Chilliwack",3633,6942,2809
"199506","09","052","Abbotsford",4808,9173,3726
"199506","09","056","Mission",2113,4155,1746
"199506","15","001","Langley Township",2124,3761,1429
"199506","15","002","Langley City",1465,2730,1111
"199506","15","004","Surrey",18333,33532,12866
"199506","15","007","White Rock",725,1023,248
"199506","15","011","Delta",2507,4455,1696
"199506","15","015","Richmond",4087,7232,2625
"199506","15","022","Vancouver",45976,65269,15718
"199506","15","025","Burnaby",9664,15857,5130
"199506","15","029","New Westminster",4561,6461,1499
"199506","15","034","Coquitlam",3782,6846,2577
"199506","15","039","Port Coquitlam",2207,3978,1528
"199506","15","043","Port Moody",650,1221,498
"199506","15","046","North Vancouver DM",1578,2647,925
"199506","15","051","North Vancouver City",2492,3941,1164
"199506","15","055","West Vancouver",349,478,108
"199506","15","070","Pitt Meadows",437,868,391
"199506","15","075","Maple Ridge",2947,5284,1994
"199506","17","010","Sidney",396,721,270
"199506","17","015","Central Saanich",258,460,176
"199506","17","021","Saanich",4143,6908,2373
"199506","17","027","Saltspring Island",428,804,328
"199506","17","034","Victoria",7940,11327,2797
"199506","17","040","Esquimalt",1717,2884,968
"199506","17","041","Colwood",386,740,302
"199506","17","044","Langford",859,1656,699
"199506","17","047","View Royal",344,622,246
"199506","17","052","Sooke",640,1234,502
"199506","19","008","North Cowichan",1671,3302,1365
"199506","19","012","Duncan",544,980,375
"199506","19","016","Lake Cowichan",398,884,397
"199506","21","007","Nanaimo",6723,12138,4582
"199506","21","010","Nanaimo A",292,504,171
"199506","21","018","Parksville",664,1204,453
"199506","21","032","Nanaimo F",401,725,254
"199506","23","008","Port Alberni",1922,3696,1475
"199506","24","034","Campbell River",1981,3748,1524
"199506","26","005","Comox",388,753,316
"199506","26","010","Courtenay",2345,4515,1834
"199506","27","008","Powell River",1085,1909,678
"199506","29","011","Sechelt",619,1091,410
"199506","31","006","Squamish",595,1143,480
"199506","33","042","Kamloops",6240,11023,4086
"199506","35","010","Kelowna",5325,9706,3719
"199506","35","029","West Kelowna",675,1453,679
"199506","35","802","Tsinstikeptum 9",258,515,211
"199506","37","014","Vernon",2663,4851,1862
"199506","37","028","Armstrong",399,806,347
"199506","39","032","Salmon Arm",680,1279,499
"199506","41","005","One Hundred Mile House",491,944,375
"199506","41","009","Williams Lake",958,1806,729
"199506","41","013","Quesnel",1083,2032,797
"199506","43","023","Port Hardy",340,684,299
"199506","47","012","Prince Rupert",1400,2659,1034
"199506","49","005","Kitimat",502,942,386
"199506","49","011","Terrace",980,1995,855
"199506","51","007","Vanderhoof",300,613,260
"199506","51","043","Smithers",335,594,224
"199506","53","023","Prince George",6542,11960,4772
"199506","55","014","Dawson Creek",1085,2036,835
"199506","55","034","Fort St. John",903,1774,741
"199507","01","022","Cranbrook",1500,2790,1080
"199507","03","004","Creston",444,825,312
"199507","03","015","Nelson",873,1480,540
"199507","03","045","Castlegar",378,724,297
"199507","03","052","Central Kootenay H",424,805,309
"199507","05","014","Trail",585,1055,402
"199507","05","032","Grand Forks",389,711,264
"199507","07","014","Oliver",373,718,271
"199507","07","035","Summerland",348,705,302
"199507","07","041","Penticton",2168,3966,1532
"199507","07","055","Okanagan-Similkameen H",659,1158,385
"199507","09","009","Hope",594,1027,362
"199507","09","020","Chilliwack",3626,6975,2862
"199507","09","052","Abbotsford",4754,9090,3712
"199507","09","056","Mission",2090,4095,1728
"199507","15","001","Langley Township",2125,3797,1464
"199507","15","002","Langley City",1437,2703,1115
"199507","15","004","Surrey",18167,33346,12869
"199507","15","007","White Rock",705,986,236
"199507","15","011","Delta",2461,4382,1662
"199507","15","015","Richmond",4127,7340,2684
"199507","15","022","Vancouver",45579,64968,15844
"199507","15","025","Burnaby",9532,15723,5144
"199507","15","029","New Westminster",4506,6379,1485
"199507","15","034","Coquitlam",3758,6809,2563
"199507","15","039","Port Coquitlam",2186,3981,1549
"199507","15","043","Port Moody",635,1212,497
"199507","15","046","North Vancouver DM",1561,2623,925
"199507","15","051","North Vancouver City",2510,3995,1196
"199507","15","055","West Vancouver",325,453,105
"199507","15","070","Pitt Meadows",445,874,390
"199507","15","075","Maple Ridge",2894,5234,2006
"199507","17","010","Sidney",397,711,264
"199507","17","015","Central Saanich",256,461,180
"199507","17","021","Saanich",4175,7002,2437
"199507","17","027","Saltspring Island",430,811,334
"199507","17","034","Victoria",7811,11192,2821
"199507","17","040","Esquimalt",1669,2819,948
"199507","17","041","Colwood",369,714,296
"199507","17","044","Langford",858,1663,710
"199507","17","047","View Royal",345,617,239
"199507","17","052","Sooke",647,1247,505
"199507","19","008","North Cowichan",1696,3318,1349
"199507","19","012","Duncan",539,996,391
"199507","19","016","Lake Cowichan",381,863,399
"199507","21","007","Nanaimo",6615,12013,4591
"199507","21","010","Nanaimo A",304,513,168
"199507","21","018","Parksville",620,1126,429
"199507","21","032","Nanaimo F",395,724,256
"199507","23","008","Port Alberni",1910,3722,1514
"199507","24","034","Campbell River",1935,3666,1493
"199507","26","005","Comox",381,740,305
"199507","26","010","Courtenay",2338,4542,1868
"199507","27","008","Powell River",1090,1928,690
"199507","29","011","Sechelt",625,1110,422
"199507","31","006","Squamish",558,1085,462
"199507","33","042","Kamloops",6128,10901,4091
"199507","35","010","Kelowna",5262,9630,3717
"199507","35","029","West Kelowna",669,1450,694
"199507","35","802","Tsinstikeptum 9",256,510,210
"199507","37","014","Vernon",2616,4839,1895
"199507","37","028","Armstrong",395,807,351
"199507","39","032","Salmon Arm",663,1254,498
"199507","41","005","One Hundred Mile House",482,913,357
"199507","41","009","Williams Lake",940,1782,718
"199507","41","013","Quesnel",1074,2027,803
"199507","43","023","Port Hardy",334,684,305
"199507","47","012","Prince Rupert",1363,2643,1057
"199507","49","005","Kitimat",502,941,384
"199507","49","011","Terrace",962,1952,834
"199507","51","007","Vanderhoof",286,578,246
"199507","51","043","Smithers",313,570,226
"199507","53","023","Prince George",6439,11767,4739
"199507","55","014","Dawson Creek",1106,2078,859
"199507","55","034","Fort St. John",823,1641,716
"199508","01","022","Cranbrook",1521,2829,1094
"199508","03","004","Creston",433,802,301
"199508","03","015","Nelson",883,1524,568
"199508","03","045","Castlegar",387,749,311
"199508","03","052","Central Kootenay H",413,784,300
"199508","05","014","Trail",587,1045,391
"199508","05","032","Grand Forks",402,752,291
"199508","07","014","Oliver",372,706,262
"199508","07","035","Summerland",341,699,306
"199508","07","041","Penticton",2135,3956,1547
"199508","07","055","Okanagan-Similkameen H",630,1102,364
"199508","09","009","Hope",598,1062,391
"199508","09","020","Chilliwack",3655,7051,2916
"199508","09","052","Abbotsford",4782,9155,3752
"199508","09","056","Mission",2066,4058,1720
"199508","15","001","Langley Township",2191,3962,1562
"199508","15","002","Langley City",1454,2717,1103
"199508","15","004","Surrey",18183,33432,12936
"199508","15","007","White Rock",722,1031,263
"199508","15","011","Delta",2452,4367,1654
"199508","15","015","Richmond",4056,7275,2697
"199508","15","022","Vancouver",45539,64885,15802
"199508","15","025","Burnaby",9570,15754,5144
"199508","15","029","New Westminster",4483,6383,1506
"199508","15","034","Coquitlam",3747,6845,2609
"199508","15","039","Port Coquitlam",2214,4031,1564
"199508","15","043","Port Moody",627,1189,483
"199508","15","046","North Vancouver DM",1559,2645,936
"199508","15","051","North Vancouver City",2533,4070,1230
"199508","15","055","West Vancouver",333,468,108
"199508","15","070","Pitt Meadows",458,881,384
"199508","15","075","Maple Ridge",2918,5253,2004
"199508","17","010","Sidney",394,724,275
"199508","17","015","Central Saanich",259,461,175
"199508","17","021","Saanich",4183,6997,2436
"199508","17","027","Saltspring Island",432,826,345
"199508","17","034","Victoria",7745,11101,2804
"199508","17","040","Esquimalt",1640,2752,917
"199508","17","041","Colwood",367,699,287
"199508","17","044","Langford",872,1691,720
"199508","17","047","View Royal",338,597,228
"199508","17","052","Sooke",644,1258,518
"199508","19","008","North Cowichan",1688,3315,1359
"199508","19","012","Duncan",560,1053,420
"199508","19","016","Lake Cowichan",391,852,379
"199508","21","007","Nanaimo",6679,12132,4657
"199508","21","010","Nanaimo A",300,496,158
"199508","21","018","Parksville",618,1137,438
"199508","21","032","Nanaimo F",399,733,271
"199508","23","008","Port Alberni",1885,3677,1502
"199508","24","034","Campbell River",1954,3675,1497
"199508","26","005","Comox",392,766,317
"199508","26","010","Courtenay",2377,4620,1890
"199508","27","008","Powell River",1076,1929,698
"199508","29","011","Sechelt",622,1103,418
"199508","31","006","Squamish",569,1106,472
"199508","33","042","Kamloops",6121,10898,4093
"199508","35","010","Kelowna",5329,9814,3817
"199508","35","029","West Kelowna",672,1489,713
"199508","35","802","Tsinstikeptum 9",256,509,205
"199508","37","014","Vernon",2596,4840,1929
"199508","37","028","Armstrong",393,793,338
"199508","39","032","Salmon Arm",640,1216,484
"199508","41","005","One Hundred Mile House",470,911,363
"199508","41","009","Williams Lake",920,1776,738
"199508","41","013","Quesnel",1071,2043,811
"199508","43","023","Port Hardy",352,703,306
"199508","47","012","Prince Rupert",1277,2513,1021
"199508","49","005","Kitimat",473,913,391
"199508","49","011","Terrace",931,1917,834
"199508","51","007","Vanderhoof",281,559,234
"199508","51","043","Smithers",308,553,216
"199508","53","023","Prince George",6338,11614,4698
"199508","55","014","Dawson Creek",1092,2041,846
"199508","55","034","Fort St. John",809,1600,698
"199509","01","022","Cranbrook",1472,2758,1079
"199509","03","004","Creston",445,827,311
"199509","03","015","Nelson",900,1557,577
"199509","03","045","Castlegar",395,752,304
"199509","03","052","Central Kootenay H",422,806,312
"199509","05","014","Trail",570,994,359
"199509","05","032","Grand Forks",395,726,275
"199509","07","014","Oliver",381,720,266
"199509","07","035","Summerland",355,746,331
"199509","07","041","Penticton",2226,4071,1569
"199509","07","055","Okanagan-Similkameen H",603,1060,349
"199509","09","009","Hope",612,1083,397
"199509","09","020","Chilliwack",3692,7113,2944
"199509","09","052","Abbotsford",4839,9257,3794
"199509","09","056","Mission",2068,4101,1748
"199509","15","001","Langley Township",2208,4034,1610
"199509","15","002","Langley City",1483,2770,1124
"199509","15","004","Surrey",18252,33583,13022
"199509","15","007","White Rock",713,1023,266
"199509","15","011","Delta",2488,4449,1691
"199509","15","015","Richmond",4080,7304,2708
"199509","15","022","Vancouver",45443,64908,15894
"199509","15","025","Burnaby",9630,15900,5195
"199509","15","029","New Westminster",4492,6409,1510
"199509","15","034","Coquitlam",3764,6882,2617
"199509","15","039","Port Coquitlam",2179,3997,1573
"199509","15","043","Port Moody",622,1177,478
"199509","15","046","North Vancouver DM",1550,2605,904
"199509","15","051","North Vancouver City",2504,4020,1215
"199509","15","055","West Vancouver",330,458,108
"199509","15","070","Pitt Meadows",472,916,404
"199509","15","075","Maple Ridge",2971,5352,2042
"199509","17","010","Sidney",394,716,275
"199509","17","015","Central Saanich",272,472,174
"199509","17","021","Saanich",4198,7017,2434
